BERTRAND CHAFFEE HOSPITAL,42.509,-78.6586,224 E MAIN ST,SPRINGVILLE,NY,(716) 592-2871,ERIE,http://bertrandchaffee.com/
ELIZABETHTOWN COMMUNITY HOSPITAL,44.2148,-73.5949,75 PARK ST,ELIZABETHTOWN,NY,(518) 873-6377,ESSEX,http://www.ech.org
MERCY HOSPITAL,38.2053,-97.5169,218 E PACK ST,MOUNDRIDGE,KS,(620) 345-6391,MCPHERSON,http://www.mercyh.org/
PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,33.8846,-118.162,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,NOT AVAILABLE,LOS ANGELES,http://www.promiseeastla.com/
MERITER HSPTL,43.0652,-89.4016,202 S PARK ST,MADISON,WI,(608) 417-6210,DANE,http://www.meriter.com
ADVOCATE SHERMAN HOSPITAL,42.0708,-88.3307,1425 NORTH RANDALL ROAD,ELGIN,IL,(847) 742-9800,KANE,Not Available
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,33.8393,-118.36,4320 MARICOPA STREET,TORRANCE,CA,NOT AVAILABLE,LOS ANGELES,http://california.providence.org/
DEMING CARDIOLOGY,32.2606,-107.768,900 W ASH ST,DEMING,NM,NOT AVAILABLE,LUNA,Not Available
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,33.928,-118.068,11401 BLOOMFIELD AVENUE,NORWALK,CA,(562) 863-7011,LOS ANGELES,http://www.dsh.ca.gov/metropolitan/default.asp
WALTER REED NATIONAL MILITARY MEDICAL CENTER,39.003,-77.0946,8901 ROCKVILLE PIKE,BETHESDA,MD,NOT AVAILABLE,MONTGOMERY,http://www.wrnmmc.capmed.mil/
VA LONG BEACH HEALTHCARE SYSTEM,33.7766,-118.119,5901 E 7TH ST,LONG BEACH,CA,NOT AVAILABLE,LOS ANGELES,http://www.longbeach.va.gov/
BAYSIDE CENTER FOR BEHAVIORAL HEALTH,27.3187,-82.5341,1650 S OSPREY AVE,SARASOTA,FL,(941) 917-7760,SARASOTA,http://www.smh.com/p.aspx?p=17
PHOEBE SUMTER MEDICAL CENTER,32.067,-84.2561,126 HIGHWAY 280 W,AMERICUS,GA,(229) 924-6011,SUMTER,http://www.phoebeputney.com/PhoebeContentPage.aspx?nd=1479
VA MEDICAL CENTER - DURHAM,36.0095,-78.9388,508 FULTON ST,DURHAM,NC,(919) 286-0411,DURHAM,http://www.durham.va.gov/
VA MEDICAL CENTER - FAYETTEVILLE,35.0878,-78.877,2300 RAMSEY ST,FAYETTEVILLE,NC,(910) 488-2120,CUMBERLAND,http://www.fayettevillenc.va.gov/
PIONEER COMMUNITY HOSPITAL OF EARLY,31.3737,-84.946,11740 COLUMBIA STREET,BLAKELY,GA,NOT AVAILABLE,EARLY,Not Available
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,32.888,-84.6923,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,(404) 655-5011,MERIWETHER,Not Available
CHARLES GEORGE VA MEDICAL CENTER,35.5886,-82.4835,1100 TUNNEL RD,ASHEVILLE,NC,(828) 298-7911,BUNCOMBE,http://www.asheville.va.gov/
CENTEGRA NORTHERN ILLINOIS MEDICAL CENTER - DBA CENTEGRA HOSPITAL - MCHENRY,42.3178,-88.2786,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,(815) 344-5000,MCHENRY,Not Available
W. G. (BILL) HEFNER VA MEDICAL CENTER,35.6842,-80.4882,1601 BRENNER AVE,SALISBURY,NC,(704) 638-9000,ROWAN,http://www.salisbury.va.gov/
PRESENCE HOSPITALS PRV - DBA PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,42.0356,-88.3266,77 NORTH AIRLITE STREET,ELGIN,IL,(847) 695-3200,KANE,Not Available
ATLANTIC REHABILITATION INSTITUTE,40.7896,-74.4892,95 MT KEMBLE AVENUE,MORRISTOWN,NJ,(973) 971-4481,MORRIS,Not Available
JAMES J. PETERS VA MEDICAL CENTER,40.8674,-73.9061,130 W KINGSBRIDGE RD,BRONX,NY,NOT AVAILABLE,BRONX,http://www.bronx.va.gov/
CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,40.6683,-74.1127,29 EAST 29TH ST,BAYONNE,NJ,(201) 858-5000,HUDSON,Not Available
CAREPOINT HEALTH-CHRIST HOSPITAL,40.7343,-74.05,176 PALISADE AVE,JERSEY CITY,NJ,(201) 795-8200,HUDSON,Not Available
CHALMERS P. WYLIE VA AMBULATORY CARE CENTER,39.9808,-82.9096,420 N JAMES RD,COLUMBUS,OH,NOT AVAILABLE,FRANKLIN,http://www.columbus.va.gov/
VA MEDICAL CENTER - CHILLICOTHE,39.3904,-83.0204,17273 OH-104,CHILLICOTHE,OH,NOT AVAILABLE,ROSS,http://www.chillicothe.va.gov/
CHILDREN'S SPECIALIZED HOSPITAL,40.4948,-74.4517,200 SOMERSET STREET,NEW BRUNSWICK,NJ,(732) 258-7134,MIDDLESEX,Not Available
VA MEDICAL CENTER - SALEM,37.2743,-80.02,1970 ROANOKE BLVD,SALEM,VA,NOT AVAILABLE,SALEM,http://www.salem.va.gov/
CHILDREN'S HOSPITAL MEDICAL CENTER,39.1409,-84.5024,3333 BURNET AVENUE,CINCINNATI,OH,(513) 636-3333,HAMILTON,Not Available
EL PASO VA HEALTH CARE SYSTEM,31.8209,-106.462,5001 N PIEDRAS,EL PASO,TX,NOT AVAILABLE,EL PASO,http://www.elpaso.va.gov/
MARY HURLEY HOSPITAL,34.5393,-96.2237,6 NORTH COVINGTON AVENUE,COALGATE,OK,(580) 927-2327,COAL,Not Available
MADISON RIVER OAKS MED CTR-ER,32.5814,-90.0832,161 RIVER OAKS DR,CANTON,MS,(601) 855-4000,MADISON,http://www.madisonriveroaks.com/
NORTHEASTERN HEALTH SYSTEM,35.914,-94.9503,1400 EAST DOWNING STREET,TAHLEQUAH,OK,(918) 456-0641,CHEROKEE,Not Available
9TH MEDICAL GROUP,39.1152,-121.342,15301 WARREN SHINGLE ROAD,BEALE AFB,CA,(530) 749-4511,YUBA,http://www.beale.af.mil/units/9thmedicalgroup/
CENTRA LYNCHBURG GENERAL HOSPITAL,37.417,-79.1716,1901 TATE SPRINGS ROAD,LYNCHBURG,VA,(434) 200-3000,LYNCHBURG,Not Available
NATHAN LITTAUER HOSPITAL,43.0716,-74.3319,99 E STATE ST,GLOVERSVILLE,NY,(518) 725-8621,FULTON,http://www.nlh.org
JFK MEDICAL CENTER,26.5986,-80.0912,5301 S CONGRESS AVE,ATLANTIS,FL,(561) 965-7300,PALM BEACH,http://jfkmc.com/
CHARLOTTESVILLE SURGICAL CENTER,38.0286,-78.4432,"2050 ABBEY ROAD, SUITE D",CHARLOTTESVILLE,VA,(434) 974-7200,ALBEMARLE,Not Available
NIAGARA FALLS MEMORIAL MEDICAL CENTER,43.0939,-79.0497,621 10TH ST,NIAGARA FALLS,NY,(716) 275-3351,NIAGARA,http://www.nfmmc.org
KINDRED HOSPITAL-NORTH FLORIDA,29.9878,-81.6821,801 OAK ST,GREEN COVE SPRINGS,FL,(904) 284-9230,CLAY,http://www.khnorthflorida.com
HENRICO DOCTOR’S HOSPITAL - RETREAT,37.5539,-77.4725,2621 GROVE AVENUE,RICHMOND,VA,(804) 254-5100,RICHMOND CITY,Not Available
ORANGE PARK MEDICAL CENTER,30.1658,-81.7376,2001 KINGSLEY AVE,ORANGE PARK,FL,(904) 276-8500,CLAY,http://www.opmedical.com
MOUNT ST. MARY'S HOSPITAL,43.1542,-79.0324,5300 MILITARY RD,LEWISTON,NY,(716) 297-4800,NIAGARA,http://www.msmh.org
KAISER PERMANENTE FALLS CHURCH AMBULATORY SURGERY CENTER,38.8836,-77.1698,201 N. WASHINGTON STREET,FALLS CHURCH,VA,(703) 237-4020,FALLS CHURCH,Not Available
ATLANTIC SHORES HOSPITAL,26.1846,-80.1188,4545 N FEDERAL HWY,FORT LAUDERDALE,FL,(954) 771-2711,BROWARD,http://www.atlanticshoreshospital.com
FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS,43.0967,-75.2759,1656 CHAMPLIN AVE,NEW HARTFORD,NY,(315) 624-6000,ONEIDA,http://www.mvnhealth.com
SURGI-CENTER OF CENTRAL VIRGINIA,38.2844,-77.4543,"1500 DIXON STREET, SUITE 101",FREDERICKSBURG,VA,(540) 371-5349,FREDERICKSBURG,Not Available
PALOMAR HEALTH DOWNTOWN CAMPUS,33.1251,-117.075,555 E. VALLEY PARKWAY,ESCONDIDO,CA,NOT AVAILABLE,SAN DIEGO,http://www.palomarhealth.org/
HELEN HAYES HOSPITAL,41.2143,-73.9883,51 NORTH ROUTE 9W,WEST HARVESTRAW,NY,(845) 786-4000,ROCKLAND,http://www.helenhayeshospital.org
SELECT SPECIALTY HOSPITAL-FORT WAYNE,41.0783,-85.1492,700 BROADWAY 7TH FL E,FORT WAYNE,IN,(260) 425-3840,ALLEN,Not Available
POMERADO HOSPITAL,32.9971,-117.056,15615 POMERADO ROAD,POWAY,CA,NOT AVAILABLE,SAN DIEGO,http://www.pph.org
WESTCHESTER MEDICAL CENTER,41.0861,-73.805,100 WOODS RD,VALHALLA,NY,(914) 493-2504,WESTCHESTER,http://www.worldclassmedicine.com
RADY CHILDREN'S HOSPITAL - SAN DIEGO,32.798,-117.151,3020 CHILDREN'S WAY,SAN DIEGO,CA,NOT AVAILABLE,SAN DIEGO,http://www.rchsd.org
LOGANSPORT STATE HOSPITAL,40.7634,-86.362,1098 S SR 25,LOGANSPORT,IN,(574) 722-4141,CASS,Not Available
JACOBI MEDICAL CENTER,40.8563,-73.8475,1400 PELHAM PARKWAY SOUTH,BRONX,NY,(212) 430-5235,BRONX,http://www.nyc.gov/html/hhc/jacobi/home.html
EAST MORGAN COUNTY HOSPITAL DISTRICT,40.2559,-103.649,2400 W EDISON ST,BRUSH,CO,(970) 842-6200,MORGAN,http://www.emchbrush.com
ST VINCENT FISHERS HOSPITAL INC,39.9893,-85.9166,13861 OLIO ROAD,FISHERS,IN,(317) 415-9000,HAMILTON,Not Available
MONTEFIORE MEDICAL CENTER - WEILER HOSPITAL,40.8496,-73.8458,111 E 210TH ST,BRONX,NY,(718) 277-7545,BRONX,http://www.montefiore.org
ST VINCENT GENERAL HOSPITAL DISTRICT,39.245,-106.303,822 W 4TH STREET,LEADVILLE,CO,(719) 486-0230,LAKE,http://www.svghd.org
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,31.2522,-92.482,6410 MASONIC DRIVE,ALEXANDRIA,LA,(318) 473-0035,RAPIDES,Not Available
MILLARD FILLMORE SUBURBAN HOSPITAL,42.994,-78.7302,1540 MAPLE RD,BUFFALO,NY,(716) 204-5933,ERIE,http://www.kaleidahealth.org
MILFORD VALLEY MEMORIAL HOSPITAL,38.4018,-113.011,850 NORTH MAIN STREET,MILFORD,UT,(435) 387-2411,BEAVER,Not Available
LONG BEACH MEMORIAL MEDICAL CENTER,33.8082,-118.187,2801 ATLANTIC AVENUE,LONG BEACH,CA,NOT AVAILABLE,LOS ANGELES,http://www.memorialcare.org/LongBeach
MEMORIAL HOSPITAL,38.9254,-97.206,511 NE 10TH ST,ABILENE,KS,(785) 2636610,DICKINSON,http://www.mhsks.org
SOUTH JORDAN HEALTH CENTER,40.5417,-112.013,5126 WEST DAYBREAK PARKWAY,SOUTH JORDAN,UT,NOT AVAILABLE,SALT LAKE,Not Available
NORWALK COMMUNITY HOSPITAL,33.9107,-118.064,13222 BLOOMFIELD AVENUE,NORWALK,CA,NOT AVAILABLE,LOS ANGELES,http://www.norwalkhospital.org/
CLOUD COUNTY HEALTH CENTER,39.5655,-97.6735,1100 HIGHLAND DRIVE,CONCORDIA,KS,(785) 2431234,CLOUD,http://www.cchc.com
BAYNE-JONES ARMY COMMUNITY HOSPITAL,31.0625,-93.214,1585 3RD ST,FORT POLK,LA,(337) 531-3118,VERNON,http://www.polk.amedd.army.mil/
OLYMPIA MEDICAL CENTER,34.0573,-118.361,5900 WEST OLYMPIA BLVD,LOS ANGELES,CA,NOT AVAILABLE,LOS ANGELES,http://www.olympiamc.com
VIA CHRISTI HOSPITAL PITTSBURG INC,37.3802,-94.6846,1 MT CARMEL WAY,PITTSBURG,KS,(620) 231-6100,CRAWFORD,http://www.viachristi.org
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,33.9119,-117.196,26520 CACTUS AVENUE,MORENO VALLEY,CA,NOT AVAILABLE,RIVERSIDE,http://www.rcrmc.org
THEDA CLARK MED CTR,44.1875,-88.4534,130 2ND ST,NEENAH,WI,(920) 729-3100,WINNEBAGO,http://www.thedacare.org
IRELAND ARMY COMMUNITY HOSPITAL,37.9004,-85.9416,289 IRELAND AVE,FORT KNOX,KY,NOT AVAILABLE,HARDIN,http://www.iach.knox.amedd.army.mil/
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER - D/P APH,33.919,-117.46,9990 COUNTY FARM ROAD,RIVERSIDE,CA,NOT AVAILABLE,RIVERSIDE,http://www.rcrmc.org
SHRINERS HOSPITAL FOR  CHILDREN,21.3005,-157.835,1310 PUNAHOU ST,HONOLULU,HI,(808) 941-4466,HONOLULU,"http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Hon
olulu.aspx"
NAVAL HOSPITAL PENSACOLA,30.3986,-87.2986,6000 WEST HIGHWAY 98,PENSACOLA,FL,(850) 505-6601,ESCAMBIA,http://www.med.navy.mil/SITES/PCOLA/Pages/default.aspx
SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,33.5917,-117.238,36485 INLAND VALLEY,WILDOMAR,CA,NOT AVAILABLE,RIVERSIDE,http://www.swhcs.com
WAHIAWA GENERAL HOSPITAL,21.4989,-158.026,128 LEHUA ST,WAHIAWA,HI,(808) 621-8411,HONOLULU,http://www.wahiawageneral.org
THOUSAND OAKS SURGICAL HOSPITAL,34.1749,-118.869,401 ROLLING OAKS DRIVE,THOUSAND OAKS,CA,NOT AVAILABLE,VENTURA,http://www.toshospital.com
DOMINICAN HOSPITAL-SANTA CRUZ/FREDERICK,36.9797,-122.003,610 FREDERICK STREET,SANTA CRUZ,CA,(831) 457-7100,SANTA CRUZ,http://www.dominicanhospital.org
CHANDLER REGIONAL MEDICAL CENTER,33.2974,-111.875,1955 WEST FRYE ROAD,CHANDLER,AZ,(480) 963-4561,MARICOPA,Not Available
SUMMIT HEALTHCARE ASSOCIATION,34.2025,-110.018,2200 E SHOW LOW LAKE RD,SHOW LOW,AZ,(928) 537-4380,NAVAJO,http://www.summithealthcare.net
COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,36.7439,-119.785,2823 FRESNO AND R STREETS,FRESNO,CA,NOT AVAILABLE,FRESNO,http://www.communitymedical.org
ABRAZO CENTRAL CAMPUS,33.5248,-112.102,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,(602) 249-0212,MARICOPA,https://www.abrazohealth.com
COBRE VALLEY REGIONAL MEDICAL CENTER,33.406,-110.826,5880 S. HOSPITAL DRIVE,GLOBE,AZ,(928) 425-3260,GILA,http://www.cvrmc.org
FRESNO HEART AND SURGICAL HOSPITAL,36.8609,-119.789,15 E. AUDUBON DRIVE,FRESNO,CA,NOT AVAILABLE,FRESNO,http://www.fresnoheartandsurgical.org
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,32.1759,-110.931,2800 EAST AJO WAY,TUCSON,AZ,(520) 294-4471,PIMA,Not Available
GRAND RIVER MEDICAL CENTER,39.5212,-107.77,501 AIRPORT ROAD,RIFLE,CO,(970) 625-1510,GARFIELD,http://grandriverhospitaldistrict.org/
MERCY SOUTHWEST HOSPITAL,35.3515,-119.112,400 OLD RIVER RD,BAKERSFIELD,CA,NOT AVAILABLE,KERN,http://www.mercybakersfield.org/index.htm
SAGE MEMORIAL HOSPITAL,35.7108,-109.544,STATE ROUTE 264 SOUTH 191 PO BOX 457,GANADO,AZ,(928) 755-4559,APACHE,Not Available
MIDDLE PARK MEDICAL CENTER-GRANBY,40.0757,-105.926,1000 GRANBY PARK DRIVE SOUTH,GRANBY,CO,(970) 887-5800,GRAND,http://www.mpmc.org/
RIDGECREST REGIONAL HOSPITAL,35.6407,-117.671,1081 NORTH CHINA LAKE BLVD.,RIDGECREST,CA,(760) 446-3551,KERN,http://www.rrh.org
NORTHSIDE MENTAL HEALTH,28.0615,-82.428,12512 BRUCE B DOWNS BLVD,TAMPA,FL,(813) 977-8700,HILLSBOROUGH,http://www.northsidemhc.org/
RONALD REAGAN UCLA MEDICAL CENTER,34.0666,-118.447,757 WESTWOOD PLAZA,LOS ANGELES,CA,(310) 825-9111,LOS ANGELES,http://www.uclahealth.org
TRINITY HOSPITAL,40.7381,-122.94,60 B EASTER AVENUE,WEAVERVILLE,CA,NOT AVAILABLE,TRINITY,http://www.mcmedical.org
O'CONNOR HOSPITAL,37.3279,-121.938,2105 FOREST AVENUE,SAN JOSE,CA,(408) 947-2500,SANTA CLARA,http://www.oconnorhospital.org
45TH MEDICAL GROUP - US AIR FORCE HOSPITAL,28.2144,-80.6045,1381 S PATRICK DR,PATRICK AFB,FL,(321) 494-8241,BREVARD,http://www.patrick.af.mil/library/factsheets/factsheet.asp?id=4491
FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,33.7149,-117.936,17100 EUCLID STREET,FOUNTAIN VALLEY,CA,NOT AVAILABLE,ORANGE,http://www.fountainvalleyhospital.com
SUNRISE REGIONAL MEDICAL CENTER,26.1123,-80.3487,555 SW 148TH AVE,SUNRISE,FL,(954) 370-0200,BROWARD,http://realpages.com/sites/sunriseregional/index.html
DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,36.99,-121.984,1555 SOQUEL DRIVE,SANTA CRUZ,CA,(831) 462-7700,SANTA CRUZ,http://www.dignityhealth.org/dominican/
THE FRIARY OF LAKEVIEW CENTER,30.3978,-87.0394,4400 HICKORY SHORES BLVD,GULF BREEZE,FL,(850) 932-9375,SANTA ROSA,http://thefriary.bhcpns.org/thefriary/
KAWEAH DELTA REHABILITATION HOSPITAL,36.3226,-119.348,840 SOUTH AKERS,VISALIA,CA,NOT AVAILABLE,TULARE,http://www.kaweahdelta.org
MURRAY MEDICAL CENTER,34.78,-84.7832,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",CHATSWORTH,GA,(706) 517-2031,MURRAY,http://www.murraymedical.org/
